aX,aY,aZ,gX,gY,gZ
0.346,0.655,-1.969,-44.922,2.380,1.526
0.353,0.668,-2.172,-57.556,-7.385,-9.521
0.311,0.622,-2.309,-76.355,-25.696,-24.292
0.230,0.559,-2.360,-103.333,-45.471,-38.940
0.170,0.506,-2.348,-134.216,-62.500,-46.265
0.141,0.433,-2.252,-162.048,-76.843,-47.485
0.131,0.395,-2.165,-186.157,-88.135,-45.288
0.175,0.334,-2.053,-205.444,-99.731,-42.542
0.197,0.300,-1.897,-222.961,-112.915,-40.405
0.100,0.266,-1.754,-238.770,-123.657,-42.297
0.176,0.210,-1.583,-246.216,-148.132,-41.504
0.123,0.185,-1.457,-244.995,-182.739,-30.090
0.218,0.207,-1.229,-248.962,-176.636,-32.288
0.172,0.202,-1.076,-262.268,-163.025,-44.128
0.138,0.133,-0.921,-280.884,-148.437,-42.725
0.101,0.081,-0.765,-294.250,-150.635,-33.142
0.062,0.048,-0.596,-300.110,-163.635,-23.560
0.094,0.097,-0.348,-301.086,-183.411,-13.489
-0.044,-0.036,-0.258,-297.913,-219.543,3.540
-0.021,-0.036,-0.103,-294.067,-244.995,11.292
-0.035,-0.024,0.078,-281.311,-243.225,15.869
0.021,-0.061,0.203,-269.531,-224.121,15.686
0.080,-0.111,0.313,-260.681,-197.510,10.254
0.087,-0.184,0.408,-249.390,-166.809,5.981
0.111,-0.257,0.483,-236.084,-139.954,7.996
0.147,-0.334,0.556,-220.154,-124.268,16.724
0.164,-0.383,0.620,-201.843,-118.469,26.978
0.198,-0.400,0.669,-182.068,-115.295,35.767
0.221,-0.454,0.710,-162.109,-110.168,40.100
0.248,-0.476,0.754,-144.348,-102.600,38.147
0.270,-0.503,0.792,-127.136,-94.238,34.790
0.311,-0.528,0.823,-109.924,-85.388,32.898
0.358,-0.548,0.863,-92.041,-77.271,33.875
0.438,-0.542,0.857,-74.768,-67.505,36.987
0.521,-0.527,0.864,-57.190,-56.030,39.124
0.600,-0.532,0.891,-40.771,-43.884,40.527
0.689,-0.543,0.908,-25.879,-29.175,40.771
0.784,-0.542,0.827,-13.672,-11.780,39.551
0.824,-0.505,0.783,-3.052,5.127,32.166
0.876,-0.506,0.743,10.925,22.888,22.522
0.914,-0.524,0.677,25.513,43.701,16.541
0.927,-0.539,0.607,37.964,52.856,8.667
0.916,-0.548,0.515,51.758,58.777,0.854
0.902,-0.563,0.441,65.063,65.369,-4.578
0.906,-0.578,0.352,73.914,70.923,-9.460
0.888,-0.597,0.281,79.407,72.571,-15.930
0.844,-0.624,0.207,83.801,75.378,-22.644
0.811,-0.645,0.121,87.158,80.811,-27.100
0.790,-0.675,0.061,89.661,84.045,-29.419
0.759,-0.692,0.009,91.431,85.815,-30.518
0.736,-0.704,-0.035,92.529,85.327,-30.762
0.709,-0.710,-0.070,93.811,83.435,-30.151
0.692,-0.698,-0.100,94.666,82.214,-29.236
0.654,-0.711,-0.118,94.849,80.750,-28.564
0.632,-0.710,-0.136,94.482,80.017,-27.893
0.598,-0.693,-0.159,94.299,79.956,-26.123
0.582,-0.651,-0.179,95.215,78.613,-23.804
0.570,-0.601,-0.207,97.961,78.979,-20.691
0.562,-0.566,-0.255,100.159,82.886,-18.555
0.562,-0.561,-0.315,101.379,88.684,-17.578
0.547,-0.535,-0.377,101.990,92.957,-16.968
0.539,-0.527,-0.428,102.905,94.849,-16.418
0.525,-0.509,-0.471,103.699,93.872,-16.602
0.529,-0.502,-0.511,103.760,90.027,-16.235
0.511,-0.487,-0.527,103.699,84.351,-16.663
0.494,-0.479,-0.548,102.722,79.773,-16.968
0.494,-0.472,-0.561,101.990,76.172,-16.663
0.479,-0.452,-0.573,101.074,73.364,-16.052
0.476,-0.448,-0.602,98.938,72.083,-15.686
0.464,-0.443,-0.624,97.107,70.923,-14.648
0.464,-0.419,-0.635,95.337,69.458,-13.062
0.460,-0.408,-0.649,93.323,68.909,-12.329
0.458,-0.388,-0.680,91.919,68.359,-12.695
0.455,-0.373,-0.706,93.201,66.833,-13.000
0.447,-0.381,-0.736,95.520,64.453,-14.221
0.445,-0.375,-0.750,97.595,60.974,-15.076
0.453,-0.385,-0.792,99.304,56.580,-15.625
0.433,-0.381,-0.804,98.572,52.979,-16.724
0.401,-0.385,-0.811,94.910,51.941,-16.663
0.406,-0.395,-0.860,89.905,54.810,-14.893
0.397,-0.374,-0.860,83.374,57.190,-12.329
0.398,-0.365,-0.868,76.599,59.692,-10.559
0.410,-0.362,-0.891,73.364,60.608,-10.010
0.399,-0.351,-0.908,73.792,57.434,-10.925
0.380,-0.341,-0.930,75.745,53.955,-12.024
0.401,-0.357,-0.972,77.759,50.842,-11.292
0.411,-0.358,-0.987,78.003,44.495,-10.498
0.397,-0.372,-0.982,74.951,38.818,-10.010
0.399,-0.380,-1.001,69.031,36.499,-8.911
0.402,-0.370,-0.982,62.134,36.316,-6.042
0.414,-0.345,-0.963,54.932,36.377,-3.296
0.424,-0.324,-0.946,49.988,37.170,-1.770
0.433,-0.315,-0.942,47.913,37.537,-2.014
0.435,-0.312,-0.948,49.133,35.645,-3.113
0.434,-0.310,-0.954,51.697,32.104,-4.517
0.425,-0.302,-0.969,53.833,28.503,-5.981
0.421,-0.304,-0.982,54.199,26.184,-7.019
0.413,-0.301,-0.997,53.345,25.330,-7.019
0.401,-0.294,-1.025,51.392,25.513,-7.080
0.382,-0.308,-1.018,48.889,25.574,-6.958
0.370,-0.285,-1.042,47.302,27.832,-4.761
0.381,-0.312,-1.034,43.884,33.508,-2.197
0.368,-0.301,-1.063,41.016,30.212,-5.249
0.353,-0.289,-1.049,40.405,27.039,-4.578
0.351,-0.307,-1.041,38.635,23.560,-2.441
0.341,-0.302,-1.042,37.048,19.165,-1.892
0.337,-0.284,-1.033,35.828,16.846,-1.770
0.325,-0.275,-1.028,33.325,18.188,-1.648
0.327,-0.268,-1.045,29.846,21.362,-1.648
0.335,-0.266,-1.050,26.733,23.254,-1.587
0.329,-0.257,-1.053,24.780,22.339,-1.892
0.318,-0.263,-1.052,22.278,20.020,-2.136
0.321,-0.264,-1.049,20.264,18.250,-1.343
0.318,-0.263,-1.044,18.921,15.503,-0.549
0.323,-0.263,-1.034,17.395,13.062,-0.122
0.322,-0.263,-1.023,15.747,12.329,-0.305
0.316,-0.268,-1.014,13.000,12.085,0.183
0.314,-0.263,-1.003,10.681,10.925,1.709
0.320,-0.256,-0.987,10.193,8.484,2.991

-0.382,0.006,-2.200,-86.853,-65.613,3.662
-0.391,-0.105,-2.232,-107.300,-90.881,11.047
-0.344,-0.108,-2.128,-134.338,-96.924,13.611
-0.308,-0.126,-1.993,-158.813,-101.257,14.771
-0.276,-0.127,-1.855,-178.589,-110.168,16.479
-0.252,-0.171,-1.680,-195.312,-121.521,21.484
-0.220,-0.159,-1.520,-211.060,-129.028,30.090
-0.166,-0.136,-1.325,-220.520,-135.376,40.833
-0.111,-0.127,-1.153,-228.699,-138.123,48.584
-0.023,-0.131,-1.026,-235.046,-136.475,53.589
0.072,-0.113,-0.890,-240.234,-134.583,57.617
0.143,-0.054,-0.790,-244.446,-133.240,60.791
0.232,-0.082,-0.700,-244.263,-130.493,61.340
0.281,-0.163,-0.595,-239.746,-128.845,60.303
0.305,-0.150,-0.505,-235.962,-129.456,59.937
0.361,-0.159,-0.398,-235.352,-127.441,58.777
0.394,-0.126,-0.302,-236.938,-122.803,57.312
0.429,-0.200,-0.200,-235.840,-114.563,56.641
0.465,-0.253,-0.113,-233.459,-104.797,54.871
0.484,-0.285,-0.017,-230.713,-97.229,52.246
0.487,-0.320,0.093,-224.731,-93.323,49.805
0.508,-0.316,0.258,-214.417,-91.614,47.913
0.516,-0.440,0.387,-199.646,-97.656,51.270
0.497,-0.390,0.460,-183.899,-116.211,49.927
0.475,-0.424,0.595,-160.034,-119.385,44.434
0.517,-0.461,0.705,-137.878,-107.117,40.588
0.550,-0.493,0.805,-123.657,-91.125,33.569
0.541,-0.544,0.863,-108.765,-70.801,27.893
0.545,-0.566,0.873,-91.553,-49.866,25.391
0.569,-0.582,0.866,-70.801,-34.119,26.306
0.590,-0.607,0.827,-44.922,-27.588,24.353
0.605,-0.645,0.746,-15.259,-27.405,19.104
0.590,-0.684,0.669,10.620,-28.625,11.108
0.551,-0.710,0.575,27.222,-24.963,4.089
0.536,-0.729,0.491,37.170,-15.747,0.793
0.533,-0.735,0.400,45.349,-5.981,0.610
0.535,-0.743,0.315,53.711,1.465,0.122
0.545,-0.732,0.209,60.974,8.545,-1.831
0.540,-0.751,0.132,67.993,15.259,-4.822
0.519,-0.763,0.031,72.815,22.583,-8.911
0.510,-0.790,-0.068,78.857,28.870,-11.230
0.501,-0.805,-0.157,84.717,34.912,-12.695
0.489,-0.829,-0.224,87.708,39.307,-13.611
0.475,-0.856,-0.276,87.341,42.542,-13.794
0.477,-0.867,-0.301,84.351,43.274,-12.146
0.475,-0.865,-0.307,78.491,42.114,-9.644
0.479,-0.850,-0.288,70.801,40.039,-7.141
0.480,-0.833,-0.255,63.538,38.635,-4.700
0.480,-0.805,-0.223,58.228,38.879,-2.869
0.493,-0.759,-0.191,56.396,39.795,-1.587
0.503,-0.730,-0.167,59.387,41.443,-1.709
0.506,-0.705,-0.161,66.345,44.617,-2.869
0.511,-0.681,-0.192,76.050,48.279,-3.662
0.522,-0.656,-0.233,86.304,51.331,-4.700
0.506,-0.642,-0.289,93.140,54.077,-6.531
0.501,-0.637,-0.337,95.093,57.251,-8.179
0.483,-0.630,-0.366,94.849,59.387,-9.033
0.465,-0.621,-0.388,93.750,60.669,-8.240
0.457,-0.608,-0.413,92.651,61.401,-6.714
0.456,-0.558,-0.437,91.675,61.340,-5.676
0.469,-0.520,-0.467,92.651,62.439,-6.409
0.441,-0.493,-0.498,95.215,64.209,-9.888
