aX,aY,aZ,gX,gY,gZ
0.071,0.330,0.879,7.446,-5.859,-51.208
0.057,0.364,0.889,-1.526,6.042,17.090
0.052,0.368,0.890,-0.977,4.211,14.038
0.055,0.365,0.892,1.099,0.977,1.343
0.058,0.361,0.889,1.404,0.244,-0.671
0.055,0.359,0.888,1.343,0.427,-0.977
0.049,0.356,0.888,0.977,0.549,-1.160
0.051,0.353,0.890,0.793,0.549,-0.427
0.054,0.354,0.888,1.282,0.427,0.305
0.054,0.353,0.886,1.221,0.305,0.244
0.052,0.357,0.890,0.793,0.244,-0.122
0.052,0.358,0.895,0.305,0.427,0.244
0.053,0.360,0.898,0.183,0.732,0.549
0.054,0.361,0.897,0.488,0.854,0.793
0.059,0.367,0.898,0.671,0.427,0.977
0.058,0.368,0.904,0.916,0.366,0.671
0.057,0.368,0.903,0.977,0.671,0.061
0.059,0.369,0.898,1.282,1.282,0.061
0.059,0.370,0.894,1.587,1.221,-0.122
0.057,0.366,0.889,1.587,0.854,-0.366
0.054,0.361,0.889,1.343,0.427,-0.671
0.052,0.355,0.891,0.671,0.366,-0.671
0.052,0.351,0.891,0.122,0.671,-0.427
0.048,0.352,0.888,-0.061,0.732,-0.549
0.047,0.356,0.888,-0.061,0.793,-0.183
0.053,0.359,0.891,0.061,0.305,0.427
0.056,0.363,0.896,0.122,-0.061,0.854
0.057,0.369,0.899,0.305,0.061,0.793
0.057,0.371,0.901,0.610,0.488,0.610
0.056,0.375,0.905,0.671,0.977,0.977
0.058,0.378,0.912,1.282,0.732,1.465
0.061,0.380,0.919,1.709,0.427,1.526
0.065,0.380,0.922,2.380,0.610,1.465
0.065,0.380,0.923,3.052,1.465,1.099
0.063,0.378,0.920,3.540,2.197,0.244
0.059,0.375,0.920,3.967,2.502,0.061
0.055,0.372,0.920,4.761,2.441,0.549
0.056,0.373,0.919,5.493,2.197,0.671
0.057,0.373,0.921,6.226,2.136,0.916
0.056,0.370,0.921,7.446,2.014,0.732
0.054,0.367,0.919,8.667,1.892,0.305
0.057,0.365,0.920,9.766,1.892,0.305
0.052,0.363,0.916,10.376,2.563,0.854
0.061,0.358,0.915,10.620,2.869,0.793
0.055,0.360,0.906,11.169,2.258,0.305
0.061,0.353,0.911,11.841,1.587,0.366
0.064,0.355,0.910,12.512,1.404,0.244
0.062,0.361,0.909,13.855,1.099,-0.305
0.064,0.363,0.909,14.832,0.183,-0.427
0.073,0.363,0.909,14.954,-0.671,-0.732
0.077,0.356,0.909,14.709,-1.099,-1.099
0.074,0.354,0.902,14.221,-0.732,-1.587
0.068,0.349,0.902,13.489,0.122,-2.136
0.071,0.338,0.879,12.085,0.671,-2.319
0.056,0.343,0.880,12.146,1.099,-2.075
0.061,0.333,0.872,10.315,1.343,-2.075
0.058,0.317,0.864,8.118,1.282,-2.258
0.053,0.314,0.854,7.263,1.709,-2.258
0.053,0.310,0.852,5.737,1.709,-1.831
0.053,0.303,0.853,3.906,1.099,-1.526
0.055,0.297,0.852,2.747,1.160,-0.977
0.052,0.299,0.850,1.892,1.343,-0.671
0.048,0.303,0.850,0.793,0.977,-0.366
0.049,0.307,0.862,-0.610,0.122,0.122
0.060,0.302,0.870,-2.014,-0.610,0.732
0.053,0.312,0.879,-2.991,-1.404,0.977
0.055,0.319,0.888,-4.028,-0.366,1.160
0.056,0.325,0.899,-4.822,-0.122,1.160
0.060,0.334,0.912,-5.005,-0.244,1.221
0.061,0.340,0.925,-4.639,-0.244,1.282
0.065,0.346,0.935,-3.845,-0.183,1.160
0.065,0.348,0.938,-2.869,0.183,1.038
0.066,0.352,0.940,-1.221,0.427,1.038
0.069,0.352,0.941,0.122,0.732,0.916
0.070,0.351,0.942,1.160,1.160,0.366
0.066,0.347,0.940,2.014,1.404,-0.366
0.065,0.342,0.934,2.747,1.648,-0.610
0.062,0.340,0.924,3.418,1.770,-1.038
0.060,0.337,0.916,3.967,1.770,-1.038
0.058,0.332,0.906,4.150,1.709,-1.038
0.055,0.329,0.899,4.028,1.404,-0.977
0.052,0.329,0.896,3.235,1.099,-0.854
0.050,0.327,0.897,2.686,0.854,-0.305
0.048,0.326,0.895,2.319,0.671,0.305
0.049,0.325,0.897,2.075,0.610,1.160
